"dataset","split","B","nodesize","method","mse","mae","lambda","lambda_naive","leaves","n_eff","n_train"
"servo",19,100,5,"SSRF-naive",57.5791210444023,6.5972374579195,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"RF-tuned",43.0354094913421,5.42374023797553,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"SSRF-tuned",47.0419103071859,5.89079769640312,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"GBM",127.657459767734,8.57982044445293,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"LassoRF",49.0809979237875,5.97324203759983,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"LLF",40.4131821179873,4.96821711594597,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,500,5,"RF",57.1868826992364,6.56346396300186,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"SSRF-JS",74.1196439518207,7.70509034892538,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"SSRF",76.9083874657988,7.87194261325504,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"SSRF-naive",64.9990772400033,7.15471476592631,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"RF-tuned",38.323602052328,5.08712583322537,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"SSRF-tuned",46.8072791513796,5.93881019108206,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"GBM",25.4529131772605,4.09593695905896,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"LassoRF",48.6234364897193,5.97427073600587,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",19,500,5,"LLF",28.1477026810937,3.77452654451655,0.791493203555898,0.915431528327232,32.934,2.04275571169312,116
"servo",20,5,5,"RF",64.5548359244933,6.46916900093371,0.895366868839888,0.955132589372836,34,2.0251946965919,116
"servo",20,5,5,"SSRF-JS",61.6917061801589,6.24478937859764,0.895366868839888,0.955132589372836,34,2.0251946965919,116
"servo",20,5,5,"SSRF",62.0015115997918,6.24529084903938,0.895366868839888,0.955132589372836,34,2.0251946965919,116
"servo",20,5,5,"SSRF-naive",63.1012343085827,6.37655489084758,0.895366868839888,0.955132589372836,34,2.0251946965919,116
"servo",20,10,5,"RF",66.2411954519697,6.94978991596639,0.858756371495534,0.942105949632979,32.4,2.09651483327667,116
"servo",20,10,5,"SSRF-JS",69.3020364164213,7.45137922351807,0.858756371495534,0.942105949632979,32.4,2.09651483327667,116
"servo",20,10,5,"SSRF",69.7815552586064,7.49672231711325,0.858756371495534,0.942105949632979,32.4,2.09651483327667,116
"servo",20,10,5,"SSRF-naive",67.3777128563073,7.18596716919242,0.858756371495534,0.942105949632979,32.4,2.09651483327667,116
"servo",20,25,5,"RF",61.3163057536793,6.77970059134765,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"SSRF-JS",74.5383248841768,7.82168992952462,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"SSRF",76.6913306605956,7.95631373379315,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"SSRF-naive",67.4392257278932,7.31197142492005,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"RF-tuned",41.8642882780964,5.00012885154062,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"SSRF-tuned",46.297588494148,6.01599336745618,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"GBM",32.4757477091803,4.40499583167879,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"LassoRF",61.2110136800712,6.66658877288289,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,25,5,"LLF",24.1266071249786,3.37048005430907,0.814144465861638,0.925124930510895,34.04,1.98382200421107,116
"servo",20,100,5,"RF",56.0839453907709,6.24836654254176,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"SSRF-JS",70.283889671998,7.29045679094363,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"SSRF",72.5380026092563,7.43948362745311,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"SSRF-naive",62.6792594449586,6.77669362072039,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"RF-tuned",34.9469663503093,4.6337032368503,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"SSRF-tuned",42.593813229361,5.55026038286361,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"GBM",30.420185828084,4.59519411829068,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"LassoRF",43.9864215042754,5.37731617196249,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,100,5,"LLF",21.1120380418095,3.53745331543168,0.798906348033404,0.917525950098181,32.56,2.07512185821626,116
"servo",20,500,5,"RF",42.3750786122945,5.39751190437026,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"SSRF-JS",48.9318734021944,5.96158166653021,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"SSRF",49.9255173486654,6.03871935044749,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"SSRF-naive",44.8128274317185,5.64556225762414,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"RF-tuned",38.7202345449002,4.98343353139235,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"SSRF-tuned",37.5519502152125,5.22182815338549,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"GBM",26.2873936474837,4.29051630227208,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"LassoRF",40.521128704801,5.28603539894915,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",20,500,5,"LLF",19.3369939896954,3.64793377800659,0.817711004676611,0.92591842871517,32.876,2.03965329011014,116
"servo",21,5,5,"RF",76.2825898158869,7.09960640666523,0.827433833191185,0.928331620585983,32.6,2.01581042905949,116
"servo",21,5,5,"SSRF-JS",86.0695980348863,7.74916750627848,0.827433833191185,0.928331620585983,32.6,2.01581042905949,116
"servo",21,5,5,"SSRF",85.5272833936963,7.78662061645069,0.827433833191185,0.928331620585983,32.6,2.01581042905949,116
"servo",21,5,5,"SSRF-naive",79.3269025481954,7.38069666280806,0.827433833191185,0.928331620585983,32.6,2.01581042905949,116
"servo",21,10,5,"RF",39.8093647214407,5.06131041008204,0.836715807003176,0.932203503990605,31.7,2.0927487413136,116
"servo",21,10,5,"SSRF-JS",46.9244448619348,5.68278165922128,0.836715807003176,0.932203503990605,31.7,2.0927487413136,116
"servo",21,10,5,"SSRF",48.0965508680401,5.77996728140354,0.836715807003176,0.932203503990605,31.7,2.0927487413136,116
"servo",21,10,5,"SSRF-naive",43.4932848030403,5.36433494730262,0.836715807003176,0.932203503990605,31.7,2.0927487413136,116
"servo",21,25,5,"RF",60.230729022478,6.23137822812436,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"SSRF-JS",68.8166458644072,6.98418403722237,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"SSRF",70.7753693768473,7.13129469787519,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"SSRF-naive",64.8133078572927,6.64769970109418,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"RF-tuned",44.670602249769,5.037453470277,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"SSRF-tuned",61.7378922497193,6.52217111777873,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"GBM",53.7650410729023,6.01374306920324,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"LassoRF",58.3225413969912,6.18568886015945,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,25,5,"LLF",62.3712538177849,4.81487721220053,0.825086302465854,0.926125607301767,33.04,2.05810399481861,116
"servo",21,100,5,"RF",56.3684527484136,6.19563824848974,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"SSRF-JS",65.0245837003878,6.95022436741055,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"SSRF",66.5930207462024,7.0641276519403,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"SSRF-naive",60.2243015171413,6.59770291884326,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"RF-tuned",45.8858021864741,5.20808116883117,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"SSRF-tuned",47.5214050629722,5.55069931174443,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"GBM",29.0128663738869,3.92932708919668,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"LassoRF",53.0920989245873,5.85541523386365,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,100,5,"LLF",34.0744859433097,3.85521466530699,0.822872000499507,0.926247394101627,32.84,2.04569068585234,116
"servo",21,500,5,"RF",56.1357697065621,6.31254892800137,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"SSRF-JS",68.3444975563965,7.28420174524601,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"SSRF",70.4498464634718,7.42516660461402,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"SSRF-naive",61.9168759559503,6.80618508446846,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"RF-tuned",42.6152191321823,5.2906118071471,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"SSRF-tuned",45.3538033762687,5.69118188568264,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"GBM",29.6972252049403,3.98726533071408,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"LassoRF",52.8664688971835,6.04405377108544,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",21,500,5,"LLF",38.6197104532401,4.02175663980457,0.822723335342824,0.92662418566192,32.418,2.07302510040604,116
"servo",22,5,5,"RF",63.8708835813726,6.25895707778061,0.729573940018678,0.89099389957904,34.6,1.95063525301333,116
"servo",22,5,5,"SSRF-JS",72.6447248914033,7.15074920218388,0.729573940018678,0.89099389957904,34.6,1.95063525301333,116
"servo",22,5,5,"SSRF",72.7816975292614,7.20261129948365,0.729573940018678,0.89099389957904,34.6,1.95063525301333,116
"servo",22,5,5,"SSRF-naive",66.0570869861166,6.57241613485799,0.729573940018678,0.89099389957904,34.6,1.95063525301333,116
"servo",22,10,5,"RF",41.6371924918693,4.99857286504345,0.844495462927247,0.935835537844034,32.9,2.04346522681509,116
"servo",22,10,5,"SSRF-JS",46.5415825644763,5.72625284269987,0.844495462927247,0.935835537844034,32.9,2.04346522681509,116
"servo",22,10,5,"SSRF",47.8769836849542,5.84280003054276,0.844495462927247,0.935835537844034,32.9,2.04346522681509,116
"servo",22,10,5,"SSRF-naive",43.794303801826,5.35647048505001,0.844495462927247,0.935835537844034,32.9,2.04346522681509,116
"servo",22,25,5,"RF",59.9179532325598,6.14515514960498,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"SSRF-JS",62.8419113230447,6.57963453587078,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"SSRF",63.3646985837675,6.63987642374871,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"SSRF-naive",61.0422288824039,6.343186266247,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"RF-tuned",36.0216657726992,4.61742794895736,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"SSRF-tuned",37.4755929553788,4.76124605912278,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"GBM",22.2092087312354,3.32092693212548,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"LassoRF",52.1768954207315,5.58003122175787,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,25,5,"LLF",25.8856783801382,3.71480057463954,0.838789250304277,0.934511916825052,33.48,2.01292879533153,116
"servo",22,100,5,"RF",47.0989083830162,5.75964844752293,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"SSRF-JS",56.223450706507,6.61091564732157,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"SSRF",57.3293573267772,6.70022514095268,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
