experiment,dgp,n,p,B,min_leaf,rep,rule,mean_abs_C,mean_bound,rel_C,s_lambda,identity_err,mse_true,mse_common
heterogeneity,dgp1,300,10,500,5,11,JS,0.0011328023918822042,0.02623426875142246,0.003483686931724668,0.031845305441871516,3.3306690738754696e-16,0.0658079233813989,0.06569281399167463
heterogeneity,dgp1,300,10,500,5,12,EB,0.002882045806406212,0.060736238460908316,0.01029428207021324,0.06639926154626861,2.220446049250313e-16,0.07463433888451629,0.07477352688302037
heterogeneity,dgp1,300,10,500,5,12,JS,0.0014285233514532434,0.03195837473710479,0.005102494308403562,0.03495524037533028,2.220446049250313e-16,0.07471914723046277,0.07468237640510719
heterogeneity,dgp1,300,10,500,5,13,EB,0.0020809023960952173,0.0474293651608933,0.006924242151344012,0.06369668773734045,4.440892098500626e-16,0.058536218444488156,0.05862768503495603
heterogeneity,dgp1,300,10,500,5,13,JS,0.0011646805194889423,0.024473225894364396,0.003875496496629321,0.032863060156517465,2.220446049250313e-16,0.058320009030410146,0.05838581843965289
heterogeneity,dgp1,300,10,500,5,14,EB,0.0057525383529482815,0.09359462689671234,0.01713078196579945,0.09994196137492527,5.551115123125783e-16,0.07430006462976277,0.07564840610177817
heterogeneity,dgp1,300,10,500,5,14,JS,0.004411327863647798,0.06776070079798172,0.013136721769629845,0.07252825461538273,3.3306690738754696e-16,0.07469104900327662,0.0755257716951937
heterogeneity,dgp1,1200,10,10,5,0,EB,0.01220388195958552,0.04078275703773081,0.03278297057207068,0.05318025695190971,4.440892098500626e-16,0.083831989585007,0.0851668620195388
heterogeneity,dgp1,1200,10,10,5,0,JS,0.003557954776253478,0.012776737501105114,0.009557641340103354,0.016782442701992036,4.440892098500626e-16,0.08599125319429181,0.08575226749231464
heterogeneity,dgp1,1200,10,10,5,1,EB,0.014159393679911694,0.05308082792994355,0.03554527520557053,0.06451344891822025,3.3306690738754696e-16,0.10114805603678516,0.10287403596703522
heterogeneity,dgp1,1200,10,10,5,1,JS,0.007624245068457427,0.02709878445262772,0.019139653527503537,0.033018842897993825,4.440892098500626e-16,0.10379859127119591,0.10370403656162733
heterogeneity,dgp1,1200,10,10,5,2,EB,0.014834382427220804,0.050260048207901815,0.04050773245540239,0.060301452977438774,4.440892098500626e-16,0.10309458136109954,0.10469166431047937
heterogeneity,dgp1,1200,10,10,5,2,JS,0.004950641551406743,0.01804599981326898,0.01351854480163575,0.02183730638351295,4.440892098500626e-16,0.10484109299936095,0.10502719456565565
heterogeneity,dgp1,1200,10,10,5,3,EB,0.012190930183525428,0.044250588036583216,0.03726930033796612,0.05337628129990203,4.440892098500626e-16,0.11736753973963872,0.11870063544922363
heterogeneity,dgp1,1200,10,10,5,3,JS,0.003556425461782955,0.013018538558680624,0.01087246720876952,0.01579752669267493,3.3306690738754696e-16,0.1187950641791104,0.11891535863075918
heterogeneity,dgp1,1200,10,10,5,4,EB,0.01113265944502361,0.03851888808561174,0.03277395344005103,0.05164478535085723,4.440892098500626e-16,0.109027045513588,0.1100046119547606
heterogeneity,dgp1,1200,10,10,5,4,JS,0.0017891304946634134,0.006761392435353006,0.005267104398534831,0.009116140332726204,3.3306690738754696e-16,0.11019795439512763,0.11010923514118565
heterogeneity,dgp1,1200,10,10,5,5,EB,0.012509826897031789,0.04400731110727395,0.034492358499451564,0.05643439534540464,4.440892098500626e-16,0.08786083907804783,0.09006174169135771
heterogeneity,dgp1,1200,10,10,5,5,JS,0.0051357520406735534,0.018861929467721868,0.014160403817676585,0.024167315130923368,4.440892098500626e-16,0.0901597178476358,0.09025592072177573
heterogeneity,dgp1,1200,10,10,5,6,EB,0.013352270047888616,0.046167678762574306,0.032518506194232875,0.05522221216471837,6.661338147750939e-16,0.11181729012761311,0.11403129112669373
heterogeneity,dgp1,1200,10,10,5,6,JS,0.003990078987794858,0.014594808490180545,0.009717554229709654,0.017498382263723956,4.440892098500626e-16,0.11471100440243355,0.11438075684044384
heterogeneity,dgp1,1200,10,10,5,7,EB,0.012598899988382862,0.0438504394406086,0.03299570420010706,0.05573640999821883,4.440892098500626e-16,0.09287614859126571,0.09394940331830032
