dgp,n,p,B,method,mse_true,mse,coverage,isc,rt,reps
dgp2,1200,20,10,SSRF,0.05594370796328325,0.705436941080011,0.9500000000000001,4.84117208422485,0.12782327259992593,10
dgp2,1200,20,10,SSRF-H,0.07957651853360914,0.7287381872336267,0.9475,4.891047977752889,0.04724564050002295,10
dgp2,1200,20,10,SSRF-JS,0.05658847569379084,0.7065104316553653,0.95,4.845036485857157,0.12782327259992593,10
dgp2,1200,20,10,SSRF-JS-H,0.08064284408015135,0.7303931527446692,0.9475,4.8913552825778694,0.04724564050002295,10
dgp2,1200,20,10,SSRF-rob,0.06111667603875825,0.7109190296722063,0.9533333333333334,4.849322223878756,0.14883183349988935,10
dgp2,1200,20,10,SSRF-tuned,0.02760915753936185,0.6685683004546114,0.9525000000000001,4.756097804963606,7.116373835999911,10
dgp2,1200,20,500,GBM,0.04267244252455395,0.7064558522390721,0.9508333333333334,4.7858430690623495,0.5130790796000383,10
dgp2,1200,20,500,LassoRF,0.02525082736865365,0.6722314426936018,0.9516666666666667,4.744279292465061,1.6883251442000529,10
dgp2,1200,20,500,RF,0.02682954746425065,0.6723906764383856,0.9525000000000001,4.768600897568582,6.095592118799959,10
dgp2,1200,20,500,RF-H,0.037458080197726853,0.6853515882291467,0.9533333333333334,4.769311963388129,2.1186990538999906,10
dgp2,1200,20,500,RF-tuned,0.019313367666471848,0.6609997133462222,0.9500000000000001,4.731763494433352,9.886184424500016,10
dgp2,1200,20,500,RidgeRF,0.03793900042497145,0.6872401223193014,0.9550000000000001,4.858129918611508,4.16149520050003,10
dgp2,1200,20,500,SSRF,0.02740284663146535,0.6744286806744282,0.9516666666666668,4.756309095545322,6.095592118799959,10
dgp2,1200,20,500,SSRF-H,0.0812519267068691,0.7289421685663888,0.9516666666666668,4.825927034419635,2.1186990538999906,10
dgp2,1200,20,500,SSRF-JS,0.02740315675213385,0.6744621928384457,0.9516666666666668,4.757569996883157,6.095592118799959,10
dgp2,1200,20,500,SSRF-JS-H,0.08115584472463525,0.728948724963957,0.9525000000000001,4.8252851572771345,2.1186990538999906,10
dgp2,1200,20,500,SSRF-rob,0.026678341183645503,0.6730365656148483,0.9508333333333334,4.7648003777559245,7.21538989250007,10
dgp2,1200,20,500,SSRF-tuned,0.01976691844341745,0.6630878382621976,0.9516666666666667,4.72995647339988,15.540734473100065,10
dgp2,2000,24,10,GBM,0.03082223512498045,0.6852317206993417,0.947,4.683628884494772,0.5774475569999595,10
dgp2,2000,24,10,LassoRF,0.046977017458310996,0.7054237900755632,0.95,4.6836743295061805,0.10772604490002773,10
dgp2,2000,24,10,RF,0.06859181411561295,0.7407672376523424,0.948,4.8008874138499555,0.17907686200010173,10
dgp2,2000,24,10,RF-H,0.05611326686891285,0.7112590000884752,0.948,4.7522060366373235,0.05058035910001304,10
dgp2,2000,24,10,RF-tuned,0.0208594466060332,0.6786259848353744,0.9484999999999999,4.708784703269242,8.770008571799917,10
dgp2,2000,24,10,RidgeRF,0.0733816709015552,0.7328136549905119,0.9435,4.793420256110997,0.3465970692000155,10
dgp2,2000,24,10,SSRF,0.05193232203827325,0.7240795320161576,0.947,4.76705548935203,0.17907686200010173,10
dgp2,2000,24,10,SSRF-H,0.08077946963191895,0.7346827210603799,0.949,4.743887733766645,0.05058035910001304,10
dgp2,2000,24,10,SSRF-JS,0.053061604295331605,0.7255040319447348,0.948,4.767014791581733,0.17907686200010173,10
dgp2,2000,24,10,SSRF-JS-H,0.08185568576072415,0.7354940298963513,0.9484999999999999,4.74575564290167,0.05058035910001304,10
dgp2,2000,24,10,SSRF-rob,0.06120436893517705,0.7333590659748992,0.947,4.783167561202669,0.19567350070005884,10
dgp2,2000,24,10,SSRF-tuned,0.022821367752489698,0.6834348436429556,0.9495,4.7155674542309285,8.897412561299825,10
dgp2,2000,24,500,GBM,0.03082223512498045,0.6852317206993417,0.9555,4.701807782520446,0.5680711789000725,10
dgp2,2000,24,500,LassoRF,0.023089913519891397,0.690379836448453,0.9535,4.735847521380501,1.3975473042999966,10
dgp2,2000,24,500,RF,0.02356043880720915,0.6861851609328444,0.9535,4.693303212410409,8.95123866230001,10
dgp2,2000,24,500,RF-H,0.02734654887691655,0.689471835977695,0.9535,4.666354320992345,2.493629405500042,10
dgp2,2000,24,500,RF-tuned,0.0140007565957087,0.6738238593337355,0.954,4.6797632812567365,11.362540146799983,10
dgp2,2000,24,500,RidgeRF,0.033703014970541054,0.6962115968355587,0.953,4.741008639373462,5.387727534299893,10
dgp2,2000,24,500,SSRF,0.021710599583164097,0.6856301414331487,0.955,4.678721135425767,8.95123866230001,10
dgp2,2000,24,500,SSRF-H,0.07661399257312834,0.7313370209418129,0.9544999999999999,4.705374839977784,2.493629405500042,10
dgp2,2000,24,500,SSRF-JS,0.021841079239715552,0.6857731167122372,0.9544999999999999,4.678579332232767,8.95123866230001,10
dgp2,2000,24,500,SSRF-JS-H,0.07717663452381884,0.7318395863414597,0.9544999999999999,4.70599675055162,2.493629405500042,10
dgp2,2000,24,500,SSRF-rob,0.02186998153084905,0.6855937971335571,0.9535,4.687185538091667,9.132998339600045,10
dgp2,2000,24,500,SSRF-tuned,0.0152091603773632,0.6754287174748022,0.9544999999999999,4.674834520249128,17.5628303641,10
dgp3,300,10,10,GBM,0.14154888092411888,1.0637176899716696,0.952,6.2606714940346535,0.0484437989999605,10
dgp3,300,10,10,LassoRF,0.09206100438799975,0.9917709745029182,0.95,6.01786733486278,0.03362141820002757,10
dgp3,300,10,10,RF,0.10272548935822565,0.9873621862651654,0.944,5.950473865255743,0.01469060190006527,10
dgp3,300,10,10,RF-H,0.1044696432728985,0.9889216809476611,0.953,5.928765320693619,0.00930493930013649,10
dgp3,300,10,10,RF-tuned,0.06779932266613245,0.9538618086954183,0.951,5.831221870823541,1.251920849699991,10
dgp3,300,10,10,RidgeRF,0.10712776201756395,1.001509130118409,0.948,5.996610660693312,0.01462191539990268,10
dgp3,300,10,10,SSRF,0.09010084923567166,0.9668951618784053,0.942,5.915367825003801,0.01469060190006527,10
dgp3,300,10,10,SSRF-H,0.15372451951672725,1.037245709790528,0.949,5.986741172825883,0.00930493930013649,10
dgp3,300,10,10,SSRF-JS,0.09122660517068384,0.9681381504373854,0.944,5.917826930084235,0.01469060190006527,10
dgp3,300,10,10,SSRF-JS-H,0.14867901828999325,1.0361861091619051,0.951,5.97636456082206,0.00930493930013649,10
dgp3,300,10,10,SSRF-rob,0.09727989215268995,0.9773542706811493,0.945,5.934629078416533,0.02312868200010594,10
dgp3,300,10,10,SSRF-tuned,0.06404570000934585,0.9560756994148429,0.95,5.925685109668729,1.2679218382999806,10
dgp3,300,10,500,GBM,0.14154888092411888,1.0637176899716696,0.956,6.007050925445233,0.05103721179993951,10
dgp3,300,10,500,LassoRF,0.061658222519632155,0.9472636175852439,0.958,5.783356032304202,0.47449918350007464,10
dgp3,300,10,500,RF,0.04818476471352175,0.9391268500908527,0.961,5.768603723697146,0.697106588600036,10
dgp3,300,10,500,RF-H,0.0664870281212677,0.9464228225216362,0.957,5.7849810122543115,0.4397832015000859,10
dgp3,300,10,500,RF-tuned,0.037357538905076496,0.9246576006742518,0.959,5.716507366379953,1.7509774128001028,10
dgp3,300,10,500,RidgeRF,0.0631892446462755,0.9478042735723686,0.957,5.824168851711906,0.5236000338000849,10
dgp3,300,10,500,SSRF,0.05699085528981755,0.9413221369945908,0.958,5.781505391437767,0.697106588600036,10
dgp3,300,10,500,SSRF-H,0.1463040239735689,1.0285169459934815,0.951,5.917719754947296,0.4397832015000859,10
dgp3,300,10,500,SSRF-JS,0.056480903643158706,0.9415619180771055,0.959,5.785416735787246,0.697106588600036,10
dgp3,300,10,500,SSRF-JS-H,0.1410021849846106,1.023721471981513,0.951,5.910047260200306,0.4397832015000859,10
dgp3,300,10,500,SSRF-rob,0.050806109978519254,0.9382485150117499,0.962,5.761383711264056,1.1134408841000094,10
