dgp,min_leaf,B,gain_js,gain_eb,se,win,p,reps,p_holm
dgp2,2,500,-8.120293953044843,-8.503250332828106,1.2948844188927573,90.0,2.859160304069519e-07,30,1.4295801520347595e-06
dgp2,5,1,-34.283130163810405,-35.994519063742345,1.4031369936207252,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,5,3,-30.745093381929124,-32.511494628847686,0.9868690523785129,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,5,5,-27.35718958779882,-28.775271104129285,0.5014645065488886,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,5,10,-21.1225705242458,-22.789116737068667,0.8243161285752489,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,5,25,-13.422517952910379,-14.471180615722195,0.9788994258748415,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,5,50,-9.154718233914839,-9.735539305017209,1.1747850253617185,96.66666666666667,2.7939677238464355e-09,30,3.3527612686157227e-08
dgp2,5,100,-6.065166810753892,-6.332413450420938,0.9648987433760063,90.0,4.163011908531189e-07,30,4.163011908531189e-06
dgp2,5,250,-3.878355261288302,-4.214267047363368,0.9010793786980362,70.0,0.0004758872091770172,30,0.0028553232550621033
dgp2,5,500,-2.9352043725630605,-3.2390593486725514,0.7729219145597842,70.0,0.004352731630206108,30,0.02176365815103054
dgp2,20,1,-23.39107067617191,-26.637029439087495,0.8532154443428615,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,20,3,-16.301450530478043,-18.111862391515317,0.9235034051873007,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,20,5,-10.711605562553355,-11.37920465809097,0.970468714235557,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,20,10,-4.447634351055418,-4.865718243358347,0.5696506882264954,86.66666666666667,1.8952414393424988e-06,30,3.221910446882248e-05
dgp2,20,25,2.9944160607697667,3.6152060688215304,0.9547937473024688,30.0,0.9895750740543008,30,1.0
dgp2,20,50,7.1327569007224145,8.273432062708729,0.7041820229993228,6.666666666666667,0.9999997643753886,30,1.0
dgp2,20,100,8.158542427058324,9.424443842068332,0.8244072903439801,3.3333333333333335,0.9999999953433871,30,1.0
dgp2,20,250,9.876723474012728,11.617228605274754,0.8872643315738079,3.3333333333333335,0.9999999990686774,30,1.0
dgp2,20,500,9.06618993256848,10.795149884957612,1.0556547663167988,3.3333333333333335,0.9999999990686774,30,1.0
dgp3,2,1,-48.1712351895718,-48.60805601934863,3.369083443622797,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,2,3,-40.03525688695453,-41.3634823444242,1.9299943425742268,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,2,5,-35.91654725425468,-38.237312956638334,2.123450757504546,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,2,10,-27.89480291170262,-28.86838098991427,1.341921546256598,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,2,25,-17.161173157717315,-18.110706177215768,2.281786841414956,96.66666666666667,2.7939677238464355e-09,30,2.514570951461792e-08
dgp3,2,50,-9.443123035105739,-10.716339445546602,2.954739138217615,76.66666666666667,8.494872599840164e-05,30,0.00033979490399360657
