experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,1,2,4,SSRF-JS,1.9084847619126681,1.0288327860397461,0.7528852424214865,0.7426330217195634,233.0,0.1309754373923168
substitution,dgp1,600,10,3,2,4,RF,1.5717060987352511,0.9396557334224015,0.41029847415632653,0.747318727619148,232.0,0.1309754373923168
substitution,dgp1,600,10,3,2,4,SSRF,1.4257995317384946,0.8893508315447463,0.25839035137337535,0.747318727619148,232.0,0.1309754373923168
substitution,dgp1,600,10,3,2,4,SSRF-JS,1.424671176242319,0.888469877719848,0.2566923406538277,0.747318727619148,232.0,0.1309754373923168
substitution,dgp1,600,10,5,2,4,RF,1.4560041329227007,0.9012998401875839,0.28543685727281476,0.7517262419787174,233.0,0.1309754373923168
substitution,dgp1,600,10,5,2,4,SSRF,1.366505540912461,0.8683006639989578,0.19079708674092805,0.7517262419787174,233.0,0.1309754373923168
substitution,dgp1,600,10,5,2,4,SSRF-JS,1.3676592203120335,0.8683204463761205,0.19212001904681103,0.7517262419787174,233.0,0.1309754373923168
substitution,dgp1,600,10,10,2,4,RF,1.369200211375796,0.8636643785783453,0.1882531407581331,0.7219951721607704,233.0,0.1309754373923168
substitution,dgp1,600,10,10,2,4,SSRF,1.315403504709169,0.8455563153825102,0.1338172504034134,0.7219951721607704,233.0,0.1309754373923168
substitution,dgp1,600,10,10,2,4,SSRF-JS,1.317537971372506,0.8470758109226587,0.1349679890464229,0.7219951721607704,233.0,0.1309754373923168
substitution,dgp1,600,10,25,2,4,RF,1.323072957419999,0.855053248642815,0.12633312824291054,0.7326265145488401,234.2,0.1309754373923168
substitution,dgp1,600,10,25,2,4,SSRF,1.3045627185048418,0.8464982952293724,0.1072936725001466,0.7326265145488401,234.2,0.1309754373923168
substitution,dgp1,600,10,25,2,4,SSRF-JS,1.3048970670340692,0.8469739473891317,0.1083689122503208,0.7326265145488401,234.2,0.1309754373923168
substitution,dgp1,600,10,50,2,4,RF,1.312557192455927,0.8501380030020221,0.09861231773671138,0.7431780300242555,233.18,0.1309754373923168
substitution,dgp1,600,10,50,2,4,SSRF,1.3006582215453857,0.8440920542827797,0.09080762701766389,0.7431780300242555,233.18,0.1309754373923168
substitution,dgp1,600,10,50,2,4,SSRF-JS,1.300738761922709,0.8443328331402378,0.09140977212415233,0.7431780300242555,233.18,0.1309754373923168
substitution,dgp1,600,10,100,2,4,RF,1.29399837482278,0.8446772356445884,0.08868915794685495,0.7500593153466812,232.77,0.1309754373923168
substitution,dgp1,600,10,100,2,4,SSRF,1.2867896109524464,0.840017768774139,0.08386765154898788,0.7500593153466812,232.77,0.1309754373923168
substitution,dgp1,600,10,100,2,4,SSRF-JS,1.2871221754369093,0.8401847462145366,0.08453463047645851,0.7500593153466812,232.77,0.1309754373923168
substitution,dgp1,600,10,250,2,4,RF,1.2936328404129318,0.8437914692398993,0.08846024789117655,0.7510100101746611,233.248,0.1309754373923168
substitution,dgp1,600,10,250,2,4,SSRF,1.2882750401404912,0.8396086426045822,0.08544848196603157,0.7510100101746611,233.248,0.1309754373923168
substitution,dgp1,600,10,250,2,4,SSRF-JS,1.2883304205456043,0.8397361025372855,0.08570959138802743,0.7510100101746611,233.248,0.1309754373923168
substitution,dgp1,600,10,500,2,4,RF,1.2968303257898255,0.843800234967381,0.08906389874479916,0.7488322043631516,233.468,0.1309754373923168
substitution,dgp1,600,10,500,2,4,SSRF,1.290362249598578,0.8400146262018817,0.08589850608220327,0.7488322043631516,233.468,0.1309754373923168
substitution,dgp1,600,10,500,2,4,SSRF-JS,1.2905882843731475,0.8400443837157036,0.08626055815744003,0.7488322043631516,233.468,0.1309754373923168
substitution,dgp1,600,10,1,2,5,RF,3.2029686399419153,1.3210889341510106,1.6196012639294526,0.7538741877773234,235.0,0.13867967661100855
substitution,dgp1,600,10,1,2,5,SSRF,2.4585157220951444,1.1657715240843136,0.9322188354615922,0.7538741877773234,235.0,0.13867967661100855
substitution,dgp1,600,10,1,2,5,SSRF-JS,2.4965844557834633,1.168587502600732,0.9645251746643863,0.7538741877773234,235.0,0.13867967661100855
substitution,dgp1,600,10,3,2,5,RF,1.9521104218277727,1.0392608532914958,0.5208055395647836,0.7721452375448258,233.0,0.13867967661100855
substitution,dgp1,600,10,3,2,5,SSRF,1.7302989089986853,0.972547024767261,0.3184537201973886,0.7721452375448258,233.0,0.13867967661100855
substitution,dgp1,600,10,3,2,5,SSRF-JS,1.7509034565400914,0.9780384058291038,0.33272563557300927,0.7721452375448258,233.0,0.13867967661100855
