experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,12,Cal-CV-local,1.4934948845323839,0.14275774138379801,0.07059485600007065,0.7776776164876603,0.30717440310067384,0.3156173959045307,0.44,0.3406916150806555
calibration,dgp1,300,10,10,5,12,Cal-IJ,1.4912753940504893,0.1411620034216244,0.016307245999996667,0.7776776164876603,0.30717440310067384,0.3156173959045307,0.44,0.3406916150806555
calibration,dgp1,300,10,10,5,13,RF,1.2396211677915667,0.1651405309698783,0.011818957000059527,0.8018249472657898,0.5982439656659833,0.224753665679149,0.51,0.6253955153673596
calibration,dgp1,300,10,10,5,13,SSRF-JS,1.2087718735307271,0.13235905065691667,0.011818957000059527,0.8018249472657898,0.5982439656659833,0.224753665679149,0.51,0.6253955153673596
calibration,dgp1,300,10,10,5,13,Cal-CV,1.1951692434485839,0.11637768282454632,0.07426714800021728,0.8018249472657898,0.5982439656659833,0.224753665679149,0.51,0.6253955153673596
calibration,dgp1,300,10,10,5,13,Cal-CV-local,1.2009052815136174,0.12135093548279201,0.07426714800021728,0.8018249472657898,0.5982439656659833,0.224753665679149,0.51,0.6253955153673596
calibration,dgp1,300,10,10,5,13,Cal-IJ,1.2152488057605144,0.13244961840143907,0.0162841369999569,0.8018249472657898,0.5982439656659833,0.224753665679149,0.51,0.6253955153673596
calibration,dgp1,300,10,10,5,14,RF,1.3383648826207661,0.13371197492409131,0.01113489599993045,0.7818251300124908,0.5980549256078784,0.21663218047883767,0.61,0.6328390361642062
calibration,dgp1,300,10,10,5,14,SSRF-JS,1.3021098749366145,0.10834970054743351,0.01113489599993045,0.7818251300124908,0.5980549256078784,0.21663218047883767,0.61,0.6328390361642062
calibration,dgp1,300,10,10,5,14,Cal-CV,1.2866060045389234,0.10282193319354273,0.07525648899991211,0.7818251300124908,0.5980549256078784,0.21663218047883767,0.61,0.6328390361642062
calibration,dgp1,300,10,10,5,14,Cal-CV-local,1.2904333306363072,0.10655305291976905,0.07525648899991211,0.7818251300124908,0.5980549256078784,0.21663218047883767,0.61,0.6328390361642062
calibration,dgp1,300,10,10,5,14,Cal-IJ,1.2992075526386506,0.13522680606543577,0.016456343999834644,0.7818251300124908,0.5980549256078784,0.21663218047883767,0.61,0.6328390361642062
calibration,dgp1,300,10,10,5,15,RF,1.3035942445750806,0.16998495640946873,0.013522345999945173,0.8050949706423822,0.6047095225577532,0.21896375648289002,0.64,0.6054387662863716
calibration,dgp1,300,10,10,5,15,SSRF-JS,1.2887806241943984,0.1510195293811079,0.013522345999945173,0.8050949706423822,0.6047095225577532,0.21896375648289002,0.64,0.6054387662863716
calibration,dgp1,300,10,10,5,15,Cal-CV,1.2911061609715426,0.149083978723975,0.08221395900000061,0.8050949706423822,0.6047095225577532,0.21896375648289002,0.64,0.6054387662863716
calibration,dgp1,300,10,10,5,15,Cal-CV-local,1.295935314054652,0.15354905744508002,0.08221395900000061,0.8050949706423822,0.6047095225577532,0.21896375648289002,0.64,0.6054387662863716
calibration,dgp1,300,10,10,5,15,Cal-IJ,1.3269624856526823,0.17673054764891943,0.019095132999837006,0.8050949706423822,0.6047095225577532,0.21896375648289002,0.64,0.6054387662863716
calibration,dgp1,300,10,10,5,16,RF,1.3312897459160171,0.14798102071399244,0.012140227000145387,0.74491503004167,0.0787650183653085,0.1698579146325543,0.56,0.08150082094723238
calibration,dgp1,300,10,10,5,16,SSRF-JS,1.2979327488260333,0.11967463067918493,0.012140227000145387,0.74491503004167,0.0787650183653085,0.1698579146325543,0.56,0.08150082094723238
calibration,dgp1,300,10,10,5,16,Cal-CV,1.3138428104707875,0.15426364320577862,0.07234664700013127,0.74491503004167,0.0787650183653085,0.1698579146325543,0.56,0.08150082094723238
calibration,dgp1,300,10,10,5,16,Cal-CV-local,1.3145748182060506,0.15517514357946222,0.07234664700013127,0.74491503004167,0.0787650183653085,0.1698579146325543,0.56,0.08150082094723238
