dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,3,100,RF,556.6144708022081,14.186895246167973,0.1214820069999405,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,SSRF-JS,601.1948440348094,15.021955372035043,0.1214820069999405,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,SSRF,612.4079661566782,15.243806380759583,0.1214820069999405,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,SSRF-naive,579.930224870626,14.617727855833826,0.1311828569998852,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,SSRF-rob,583.7797322198013,14.686838111977455,0.2440563600000587,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,RF-tuned,560.0246038331163,13.233534446193532,1.7975791440001103,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,SSRF-tuned,586.9656350640008,13.012655864427524,1.9327565620001224,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,LassoRF,615.6228001505638,14.79371225387803,0.16534321999984058,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,100,GBM,400.10665523717995,13.863573924363697,0.061510820999956195,0.8966304856778922,0.9431062098202918,11.24,3.767933970887933,78
airquality,111,5,3,500,RF,301.5297859701057,13.317740363455435,0.6268925219999346,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,SSRF-JS,327.1926190004905,14.024938891895625,0.6268925219999346,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,SSRF,334.947821553772,14.19531400559205,0.6268925219999346,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,SSRF-naive,315.11759098589613,13.71812844683136,0.6959127479999552,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,SSRF-rob,314.08944620097753,13.684590389290479,1.2450657669999146,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,RF-tuned,235.91766322798028,11.926316835016832,2.2927247109998916,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,SSRF-tuned,252.5703696169819,12.717211345229344,3.047156936999727,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,LassoRF,246.49417785765093,12.422338131581935,0.6168658699998559,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,3,500,GBM,230.96762437667917,11.577115352725379,0.09815972299998066,0.8926368446829546,0.9396100287991945,11.428,3.759153486165954,78
airquality,111,5,4,5,RF,383.0009983884278,12.93269819406183,0.00917882700014161,0.9008994221317629,0.9398769750017415,10.6,3.994337780305927,78
airquality,111,5,4,5,SSRF-JS,403.68785786992595,13.707267122539923,0.00917882700014161,0.9008994221317629,0.9398769750017415,10.6,3.994337780305927,78
airquality,111,5,4,5,SSRF,413.01830195189575,13.911921613053659,0.00917882700014161,0.9008994221317629,0.9398769750017415,10.6,3.994337780305927,78
airquality,111,5,4,5,SSRF-naive,395.71074875748013,13.406207892725805,0.008659972000032212,0.9008994221317629,0.9398769750017415,10.6,3.994337780305927,78
airquality,111,5,4,5,SSRF-rob,394.4604352603862,13.41973981372667,0.011331473999916852,0.9008994221317629,0.9398769750017415,10.6,3.994337780305927,78
airquality,111,5,4,10,RF,301.8357673616254,10.848231776640867,0.012000097999816717,0.8921389764481837,0.9392641687458232,11.1,3.765464084562515,78
airquality,111,5,4,10,SSRF-JS,321.52978196733955,11.640680220366338,0.012000097999816717,0.8921389764481837,0.9392641687458232,11.1,3.765464084562515,78
airquality,111,5,4,10,SSRF,330.7386003778443,11.946454353162329,0.012000097999816717,0.8921389764481837,0.9392641687458232,11.1,3.765464084562515,78
airquality,111,5,4,10,SSRF-naive,313.8967533687601,11.288932385723752,0.012962867999931404,0.8921389764481837,0.9392641687458232,11.1,3.765464084562515,78
airquality,111,5,4,10,SSRF-rob,309.9469007940406,11.15086840237304,0.02334784499998932,0.8921389764481837,0.9392641687458232,11.1,3.765464084562515,78
airquality,111,5,4,25,RF,801.9801087632023,19.55666120075211,0.03249877500002185,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,SSRF-JS,864.6219605251813,20.60683217144388,0.03249877500002185,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,SSRF,880.2358925149562,20.798402891867624,0.03249877500002185,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,SSRF-naive,834.653243262473,20.116698910779608,0.034576075999893874,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,SSRF-rob,841.7902726794073,20.238673773422732,0.05771234300004835,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,RF-tuned,663.8958264521787,17.704622895622897,1.7532996000002186,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,SSRF-tuned,641.2310548271205,17.58426037684176,1.7895896990000892,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,LassoRF,752.2813119671293,18.950427991992168,0.06644250399995144,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,25,GBM,593.3564869832044,18.27014617743515,0.05886466099991594,0.8870592652558438,0.9383554593789633,11.36,3.7679044849170036,78
airquality,111,5,4,100,RF,451.6840966012272,15.19314012549715,0.1264539359999617,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,SSRF-JS,500.96986988677435,16.237982921604214,0.1264539359999617,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,SSRF,515.7092600970886,16.559034215856713,0.1264539359999617,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,SSRF-naive,479.2093430659101,15.770341651411638,0.14413639100007458,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,SSRF-rob,476.43892048588833,15.696839844989954,0.24078348099988034,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,RF-tuned,337.7831241934553,12.586467412217411,1.873987857999964,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,SSRF-tuned,356.2676640992556,13.574225061860215,2.0305133040001238,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,LassoRF,455.11764138269393,14.874197809009692,0.14818809000007604,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,100,GBM,239.13774591854929,11.605802043384616,0.07046955999999227,0.8875263763621349,0.9362554375732741,11.36,3.78267257431695,78
airquality,111,5,4,500,RF,722.4928172556581,16.919794991200245,0.599820285000078,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
airquality,111,5,4,500,SSRF-JS,761.6610831671196,17.83544905355905,0.599820285000078,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
airquality,111,5,4,500,SSRF,772.4375782882111,18.06174203639756,0.599820285000078,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
airquality,111,5,4,500,SSRF-naive,743.7966776254125,17.440648270213313,0.6489707389998784,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
airquality,111,5,4,500,SSRF-rob,746.8968742394724,17.509920182760773,1.0990933180000866,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
airquality,111,5,4,500,RF-tuned,635.7300986772117,15.134222860641048,2.142079296999782,0.9020568645445075,0.9438468814021185,11.318,3.7854562922199504,78
