"experiment","dgp","n","p","B","min_leaf","rep","snr","method","mse","mae","mse_true","coverage","interval_score","interval_width","dm_stat","dm_p","runtime","lambda","lambda_naive","leaves","n_eff","tuned_nodesize"
"grid","dgp1",600,20,10,5,1,0.156271126148337,"SSRF-naive",1.60570223936403,0.942161183214995,0.172921712277403,0.956,6.07569160250061,5.02633232359896,5.40275745143096,8.20482822508563e-08,0.0309999999999988,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"SSRF-rob",1.61098216145528,0.944547684972347,0.178802432720034,0.956,6.07910723839243,5.01832340844057,5.74271163385971,1.23570881128925e-08,0.0589999999999975,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"RF-H",1.58936460056944,0.912259600689945,0.159725106981957,0.96,6.28049689369564,5.17149689104983,-0.118189747102408,0.905941072786572,0.019999999999996,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"SSRF-JS-H",1.58590052954317,0.908125631159194,0.15133164911832,0.954,6.28131472169392,5.04899374486948,-0.207330392269023,0.83579409396492,0.019999999999996,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"RidgeRF",1.6051199922135,0.93196858995878,0.224222004369102,0.96,6.22157808755449,5.03752379318448,0.313960404056857,0.753616659487624,0.0700000000000003,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"LassoRF",1.60313189142031,0.924017029742516,0.2002568858929,0.952,6.29002242675361,5.01562494374648,0.257447198445687,0.796886589397725,0.0450000000000017,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"GBM",1.51749422713353,0.896914342529223,0.106379158145974,0.958,6.05714876810356,4.88356912595659,-2.73560959939285,0.00633680814953061,0.122,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"RF-tuned",1.51648359923955,0.892192736944458,0.107503659233017,0.964,6.1005217485607,4.99998253794433,-2.38087751456929,0.017458072091944,1.913,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,10,5,1,0.156271126148337,"SSRF-tuned",1.51428634700745,0.895059340518403,0.12065695534481,0.964,5.96357998198445,4.95753284324629,-2.83338850276799,0.00469843172118312,1.935,0.921863208994651,0.976131738741807,203.3,1.73642792881241,40
"grid","dgp1",600,20,500,5,1,0.156271126148337,"RF",1.48321832510433,0.881194082805848,0.0827666447052976,0.944,6.28184599989332,4.63924634974429,0.171753276109508,0.863666284204813,1.315,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"SSRF-JS",1.48283390321777,0.880091279913702,0.079449605383745,0.946,6.28696187078539,4.69508086079375,NA,NA,1.315,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"SSRF",1.48235712693213,0.879888260943157,0.0788446609259278,0.946,6.28783965283946,4.69843359243922,-1.62348837992598,0.104800521179314,1.315,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"SSRF-naive",1.48269952113965,0.880732658976764,0.0812513234887621,0.946,6.28358891296619,4.6644723250149,-0.0940112419570789,0.925119077826883,1.315,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"SSRF-rob",1.48310503065396,0.88106627519813,0.0823032997333605,0.944,6.28211737443695,4.64618040777084,0.137259197841322,0.890853578212737,2.55799999999999,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"RF-H",1.50242080186614,0.881052833612117,0.0847305334890764,0.958,6.43013742006973,4.97953922238649,1.23104487587315,0.218595822163679,0.936,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"SSRF-JS-H",1.58386216706421,0.906815046866076,0.146738367592594,0.96,6.63671352649138,5.13196150354394,3.8666572378224,0.000117471581046181,0.936,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"RidgeRF",1.5048568098808,0.885650205986157,0.113868663881605,0.952,6.36200866106074,4.88965028153355,1.39452589597613,0.163468875612654,1.074,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
"grid","dgp1",600,20,500,5,1,0.156271126148337,"LassoRF",1.50764736732207,0.888602886584102,0.104875834373912,0.94,6.366265445813,4.71184419787244,1.58351700831901,0.113620172227096,0.588000000000001,0.927381998605277,0.977784838198126,202.888,1.74853679551571,80
