"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mae","mse_true","lambda","leaves","n_eff","snr"
"substitution","dgp1",600,10,25,20,1,"SSRF-JS",1.39239736464908,0.866519579144458,0.0895598673844583,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,25,20,1,"SSRF",1.38730986351115,0.863603838086602,0.079864366523846,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,50,20,1,"RF",1.38753312720808,0.86391541058395,0.0810440630901152,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,50,20,1,"SSRF-JS",1.37615911444862,0.857600846136478,0.0685137601812788,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,50,20,1,"SSRF",1.37318532558823,0.855294634453619,0.062377086096583,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,100,20,1,"RF",1.37993530781334,0.859376770097435,0.0695837786174965,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,100,20,1,"SSRF-JS",1.37142552378768,0.855450123453157,0.0604205709758238,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,100,20,1,"SSRF",1.36797775255797,0.853865234949224,0.0556648945526338,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,250,20,1,"RF",1.37187136952965,0.856139328099507,0.0627013092880789,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,250,20,1,"SSRF-JS",1.36470886880131,0.852342331549792,0.0546888291058938,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,250,20,1,"SSRF",1.36293360222077,0.851292431424844,0.0511142009651657,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,500,20,1,"RF",1.37073898243152,0.854893326682359,0.0611180860867995,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,500,20,1,"SSRF-JS",1.36365624999204,0.851570351663088,0.053275357867246,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,500,20,1,"SSRF",1.36204990899407,0.850590958161272,0.0497371299762235,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,1,20,2,"RF",2.00287932383547,1.08093794266531,0.867053079550278,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,1,20,2,"SSRF-JS",1.83398762598256,1.03144507944075,0.707577360343547,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,1,20,2,"SSRF",1.71838437680435,1.0077345011854,0.59621937419117,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,3,20,2,"RF",1.36811270330107,0.889157556267187,0.292642050058775,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,3,20,2,"SSRF-JS",1.31277191869807,0.868822484047331,0.241021825395424,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,3,20,2,"SSRF",1.27811992515543,0.856304038432232,0.208782378363278,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,5,20,2,"RF",1.25675383656078,0.8457132309831,0.193942665902277,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,5,20,2,"SSRF-JS",1.22193952563616,0.831776560620262,0.161140808474466,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,5,20,2,"SSRF",1.19968694221331,0.823634808806866,0.141117633172409,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,10,20,2,"RF",1.20873024272918,0.822315566983255,0.146373398784296,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,10,20,2,"SSRF-JS",1.18308033220136,0.810030828140261,0.122568757234403,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,10,20,2,"SSRF",1.16612484399124,0.803631910511213,0.10724025739304,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,25,20,2,"RF",1.15589706286674,0.799964508068334,0.09948532305071,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,25,20,2,"SSRF-JS",1.14237864900431,0.792940871098714,0.0869139013686375,0.876638142695026,66.056,4.86591651143289,0.145546797071234
