"dgp","n","p","B","method","mse_true","se","cov","isc","rt"
"dgp1",2000,24,500,"SSRF-rob",0.0556974206177391,NA,0.9655,6.15748526002913,12.4245
"dgp1",2000,24,500,"SSRF-tuned",0.0460847094237859,NA,0.966,6.1668055373531,24.332
"dgp2",300,10,10,"GBM",0.0603576528019198,NA,0.953,4.8453915917612,0.0370000000000061
"dgp2",300,10,10,"LassoRF",0.149289805441849,NA,0.941,5.18342723791879,0.0354999999999848
"dgp2",300,10,10,"RF",0.168740605056674,NA,0.948,5.24005633939902,0.0129999999999768
"dgp2",300,10,10,"RF-H",0.0866224465792326,NA,0.952,4.94697959613392,0.0115000000000123
"dgp2",300,10,10,"RF-tuned",0.185374326929458,NA,0.951,5.10165559276716,0.46350000000001
"dgp2",300,10,10,"RidgeRF",0.150226387326152,NA,0.948,5.02545936758675,0.039999999999992
"dgp2",300,10,10,"SSRF",0.125029642917954,NA,0.944,5.12532300470505,0.0129999999999768
"dgp2",300,10,10,"SSRF-JS",0.12968791350314,NA,0.945,5.14190706287769,0.0129999999999768
"dgp2",300,10,10,"SSRF-JS-H",0.093970304494874,NA,0.958,4.94918770668475,0.0115000000000123
"dgp2",300,10,10,"SSRF-naive",0.149970771547326,NA,0.946,5.18422572040554,0.0129999999999768
"dgp2",300,10,10,"SSRF-rob",0.165356830115858,NA,0.947,5.23281021140706,0.0329999999999586
"dgp2",300,10,10,"SSRF-tuned",0.108897223694962,NA,0.948,4.95032591731448,0.474000000000018
"dgp2",300,10,500,"GBM",0.0578628802069073,NA,0.951,4.88165338988368,0.0585000000000093
"dgp2",300,10,500,"LassoRF",0.0788307508011922,NA,0.947,4.8880700038857,0.227499999999992
"dgp2",300,10,500,"RF",0.0694824996050353,NA,0.949,4.87012932892013,0.605999999999995
"dgp2",300,10,500,"RF-H",0.0561448527042174,NA,0.955,4.87084155363093,0.634000000000015
"dgp2",300,10,500,"RF-tuned",0.07241088129215,NA,0.948,4.82504353423766,0.743000000000023
"dgp2",300,10,500,"RidgeRF",0.0826652721110476,NA,0.951,4.92858635776843,0.347999999999985
"dgp2",300,10,500,"SSRF",0.0587349621725452,NA,0.95,4.85358645891402,0.605999999999995
"dgp2",300,10,500,"SSRF-JS",0.0599119667392896,NA,0.95,4.85402672040022,0.605999999999995
"dgp2",300,10,500,"SSRF-JS-H",0.0878787691473144,NA,0.957,4.94230568980936,0.634000000000015
"dgp2",300,10,500,"SSRF-naive",0.0649464111989091,NA,0.95,4.86210441459725,0.605999999999995
"dgp2",300,10,500,"SSRF-rob",0.0685115547943473,NA,0.949,4.86799919513478,1.72499999999999
"dgp2",300,10,500,"SSRF-tuned",0.0635235620113328,NA,0.951,4.82400868294303,1.32000000000002
"dgp2",600,20,10,"GBM",0.035411467819538,NA,0.952,4.86127839704426,0.119499999999988
"dgp2",600,20,10,"LassoRF",0.0976388697518207,NA,0.954,4.77143899032504,0.0490000000000066
"dgp2",600,20,10,"RF",0.111457966612562,NA,0.954,4.91263470073235,0.032999999999987
"dgp2",600,20,10,"RF-H",0.0828986300609662,NA,0.949,4.9380470190669,0.0215000000000032
"dgp2",600,20,10,"RF-tuned",0.0541389152620419,NA,0.959,4.80381444357099,1.99199999999999
"dgp2",600,20,10,"RidgeRF",0.124036173719621,NA,0.945,5.08611771733081,0.0699999999999932
"dgp2",600,20,10,"SSRF",0.0959165395379831,NA,0.956,4.87187001173712,0.032999999999987
"dgp2",600,20,10,"SSRF-JS",0.0982844452895227,NA,0.955,4.87755971333189,0.032999999999987
"dgp2",600,20,10,"SSRF-JS-H",0.0910397464840846,NA,0.956,4.97418169411024,0.0215000000000032
"dgp2",600,20,10,"SSRF-naive",0.105389270825471,NA,0.954,4.89821613990675,0.032999999999987
"dgp2",600,20,10,"SSRF-rob",0.109963640296927,NA,0.954,4.90843154008291,0.0604999999999905
"dgp2",600,20,10,"SSRF-tuned",0.0481549440963127,NA,0.949,4.81570474852499,2.01149999999998
"dgp2",600,20,500,"GBM",0.0350289151795703,NA,0.941,5.09843807356334,0.183999999999997
"dgp2",600,20,500,"LassoRF",0.0488157356557292,NA,0.935,5.1753669154007,0.466999999999985
"dgp2",600,20,500,"RF",0.0396297920623417,NA,0.942,5.15122568230558,1.72400000000002
"dgp2",600,20,500,"RF-H",0.0461462700523423,NA,0.942,5.18001919532347,1.12349999999998
"dgp2",600,20,500,"RF-tuned",0.0318122372428341,NA,0.944,5.15768244210462,2.61799999999999
"dgp2",600,20,500,"RidgeRF",0.0541276804370498,NA,0.944,5.135423887371,1.25300000000001
"dgp2",600,20,500,"SSRF",0.0369503261173361,NA,0.941,5.15364859371224,1.72400000000002
"dgp2",600,20,500,"SSRF-JS",0.0373407405664924,NA,0.941,5.15469647815488,1.72400000000002
"dgp2",600,20,500,"SSRF-JS-H",0.084742975627164,NA,0.934,5.27101771789558,1.12349999999998
